text,doctor
"""fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression",ENT
"""joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""Sciatica pain can be almost anywhere along the nerve pathway. It's especially likely to follow a path from the low back to the buttock and the back o",General Physician
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases""",Gastroenterologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes""",Gastroenterologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""Pinched nerve signs and symptoms include: Numbness or decreased sensation in the area supplied by the nerve Sharp, aching or burning pain",General Physician
"""back_pain,neck_pain,dizziness,loss_of_balance""",General Physician
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""Most miscarriages occur before the 12th week of pregnancy. Signs and symptoms of a miscarriage might include: Vaginal spotting or bleeding Pain or c",Gynecologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""I've been having trouble with my neck. It's been hurting",General Physician
My pee is dark and bloody and has a very bad smell. I have been having temperature fluctuations and can't sleep at night,General Physician
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""vomiting,headache,altered_sensorium""",Gastroenterologist
"""The symptoms of glaucoma depend on the type and stage of your condition. Open-angle glaucoma No symptoms in early stages Gradually",General Physician
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""Undifferentiated pleomorphic sarcoma symptoms depend on where the cancer occurs. It most often happens in the arms and legs",General Physician
"""If you have painful intercourse, you might feel: Pain only at sexual entry (penetration) Pain with every penetration",General Physician
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
I have a lot of tiny red spots all over my face and neck area. They are itchy and make my day very uncomfortable.,General Physician
I have been having severe muscle pain for the past few days. It feels like a constant ache. There are also red spots all over my body and the itching,Dermatologist
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
I have pits in my nails and I am worried about what it could be. I also have rashes on my arms and back and my joints hurt.,Dermatologist
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain""",Gastroenterologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain""",Gastroenterologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""vomiting,sunken_eyes,diarrhoea""",Gastroenterologist
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression",ENT
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability""",Gastroenterologist
"""Signs and symptoms of vulvar cancer may include: Itching that doesn't go away Pain and tenderness Bleeding that isn't from menstruation Skin changes",Dermatologist
"""itching,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""I've been having frequent urges to urinate, but when I go to the bathroom, I only pass a little bit of urine. It also hurts when I pee",General Physician
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances""",Gastroenterologist
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
I have swelling in my legs and it is causing me to have difficulty fitting into my shoes. It also causes discomfort when I sit for long periods of tim,Gynecologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""Symptoms of dermatographia may include: Raised",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""I have been feeling really cold, even though it's warm outside. My back hurts and I have red spots on my arms.""",ENT
"""My skin is itchy and red. Sometimes, it can peel. My lips and cheeks swell",Dermatologist
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also",Dermatologist
"""joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""I have a burning pain in my stomach that comes and goes. It is worse when I eat certain foods",Gastroenterologist
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)""",Gastroenterologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions""",Dermatologist
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""Symptoms of Zollinger-Ellison syndrome may include: Stomach pain. Diarrhea. Burning",Gastroenterologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion",Dermatologist
"""skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",General Physician
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""continuous_sneezing,shivering,chills""",ENT
"""I have trouble breathing and get short of breath. I have a dry, hacking cough, itchy eyes",General Physician
"""weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression",ENT
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""muscle_wasting,high_fever,extra_marital_contacts""",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""I have a burning sensation in my stomach that comes and goes. I also have heartburn, indigestion, and nausea.""",Gastroenterologist
"""Signs and symptoms of corticobasal degeneration (corticobasal syndrome) include: Difficulty moving on one or both sides of the body",General Physician
"""The primary symptoms of fibromyalgia include: Widespread pain. The pain associated with fibromyalgia often is described as a constant dull ache that",General Physician
"""Signs and symptoms of whiplash usually develop within days of the injury",General Physician
"""I've been having a fever, a cough, and shortness of breath. I've also been coughing up a lot of thick",General Physician
I have been experiencing severe joint pain and I am unable to move. I have also lost my appetite and feel weak.,Orthopedic
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""Symptoms of albinism involve skin, hair and eye color",Dermatologist
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus""",General Physician
"""muscle_wasting,patches_in_throat,extra_marital_contacts""",ENT
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels""",General Physician
"""joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""I have dry, scaly patches of skin on my knees, elbows, and scalp. These patches are often itchy and sometimes painful.""",Dermatologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
I've been feeling really tired and sick. I've had a bad cough and sore throat. I've been shivering and have a fever. I just feel really run down.,ENT
"""itching,skin_rash,burning_micturition,spotting__urination""",Dermatologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""Signs and symptoms of esophageal cancer include: Difficulty swallowing (dysphagia) Weight loss without trying Chest pain",General Physician
"""fatigue,mood_swings,weight_loss,restlessness,sweating,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
I have a sour taste in my mouth. I burp and belch a lot. My upper abdomen feels full or pressured.,General Physician
"""vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching""",Gastroenterologist
"""skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption""",Gastroenterologist
"""headache,chest_pain,loss_of_balance,lack_of_concentration""",General Physician
"""Symptoms of a broken collarbone include: Pain that increases when moving the shoulder. Swelling",General Physician
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""I've been feeling really run down and achy, and I can't stop coughing. It hurts in my chest when I do",General Physician
"""vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
I'm having trouble breathing and I'm sweating a lot. I feel really sick and my throat is full of phlegm. My chest hurts and my heart is racing. I'm co,ENT
"""I've been having trouble breathing, and I've been coughing a lot. I've also been running a fever",General Physician
"""I have a constant hunger and I eat a lot. My stomach hurts and cramps sometimes. I have gas and bloating after I eat, and it hurts a lot.""",Gastroenterologist
I have rashes that sometimes cause my skin to flake off. I'm more likely to get sick because of this. My hands sometimes shake and I feel shaky.,Dermatologist
"""itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""headache,dizziness,loss_of_balance,lack_of_concentration""",General Physician
My legs are swollen and the veins are protruding from my skin. They are painful and make it difficult to sleep at night.,Dermatologist
"""Signs and symptoms of chemo brain may include the following: Being unusually disorganized Confusion Difficulty concentrating Difficulty finding the",General Physician
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
I've been having problems with my vision. I've been seeing things as distorted and my eyesight has been blurry.,General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""CCMs may exist without apparent symptoms. Seizures may occur when there is a CCM on the outer surface of the brain. CCMs CCM A wide variety of signs",Neurologist
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""I have been having frequent headaches that are so bad that they make me throw up. I also have blurred vision, a sore neck, and anxiety.""",Psychiatrist
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness""",Orthopedic
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""pus_filled_pimples,blackheads,scurring""",General Physician
"""Tonsillitis most commonly affects children between preschool ages and the midteenage years. Common signs and symptoms of tonsillitis include: Red",General Physician
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""Most people infected with toxoplasmosis do not have any symptoms. They often don't know they're infected. Some people have flu-like symptoms",General Physician
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""There are three forms of Tay-Sachs disease: infantile, juvenile and late onset/adult. Infantile form In the most common and severe form",General Physician
"""I've been having headaches, blurred vision, and acid reflux. I also have a stiff neck, depression, impatience, and excessive appetite.""",General Physician
"""           Molar pregnancy       Open pop-up dialog box           Close    Molar pregnancy  Molar pregnancy During a molar pregnancy",Gynecologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise",Dermatologist
Atypical hyperplasia usually doesn't cause any specific symptoms.,General Physician
"""vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""I have a really bad cold. I'm coughing up a storm, and my sinuses are completely blocked. I can't smell anything",ENT
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""vomiting,fatigue,anxiety,sweating,headache,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations""",Psychiatrist
"""The signs and symptoms of a concussion can be subtle and may not show up immediately. Symptoms can last for days",General Physician
"""vomiting,dehydration,diarrhoea""",Gastroenterologist
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases""",Gastroenterologist
"""Signs and symptoms of bruxism may include: Teeth grinding or clenching",General Physician
"""I have a red, itchy rash on my face, especially around my nose, mouth, and eyes. My nails are also inflamed.""",Dermatologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances""",Gastroenterologist
"""vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""I have rashes on my chest and back and I itch all over my body. I sometimes have flaky skin, which often leaves marks on my body.""",Dermatologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""pus_filled_pimples,blackheads,scurring""",General Physician
"""I've been losing weight and feeling really tired. My skin has turned yellow, and I have a fever. My urine is dark",Dermatologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""breathlessness,sweating,chest_pain""",General Physician
I have a silver like dusting on my skin and the skin on my arms and back is starting to peel off. This is strange and really concerning me.,Dermatologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise",Dermatologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""I have a lot of stomach pain, and it's hard for me to sleep. I also feel really anxious and have no appetite.""",Gastroenterologist
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""vomiting,dehydration,diarrhoea""",Gastroenterologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""The signs and symptoms that give scarlet fever its name include: Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begi",Dermatologist
I have a really bad cold. My sinuses are so congested and my eyes are red. I feel so tired and drained. I have a lot of phlegm in my throat and my lym,ENT
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""burning_micturition,bladder_discomfort,continuous_feel_of_urine""",General Physician
I have a stiff neck and muscle weakness. I have trouble moving around because of the swelling in my joints. Walking is painful.,General Physician
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
I've been feeling really sick lately. I've been having a lot of nausea and I feel really uneasy. I've also noticed some rashes on my arms and legs. I',Dermatologist
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""In most cases",General Physician
"""I have a rash on my legs that is red, inflamed, and itchy. It is spreading and causing a lot of discomfort.""",Dermatologist
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails""",Dermatologist
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",General Physician
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""skin_rash,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""fatigue,cough,high_fever,breathlessness,mucoid_sputum""",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""Mitral valve regurgitation is often mild and progresses slowly. Some people with mitral valve regurgitation might not have symptoms for many years. B",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""headache,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching""",Gastroenterologist
"""Signs and symptoms of ringworm may include: A scaly ring-shaped area, typically on the buttocks, trunk",General Physician
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""I've been coughing a lot, and it's hard to breathe. I've also been coughing up a lot of thick, mucusy saliva. I've been feeling really tired",General Physician
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain",Gastroenterologist
"""burning_micturition,bladder_discomfort,continuous_feel_of_urine""",General Physician
"""A fibroadenoma is a solid breast lump that often causes no pain. It is: Round with distinct",General Physician
"""joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""The main sign of male infertility is the inability to conceive a child. There may be no other obvious signs or symptoms. In some cases, however",General Physician
"""itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
I have a rash that is itchy and it is making it hard to sleep at night. I have also lost my appetite and feel lethargic.,Dermatologist
"""I have red and inflamed skin around my mouth, nose, and eyes. It is often itchy and uncomfortable. Recently, it has gotten very painful.""",Dermatologist
